이닝,공격팀구분,타자명,투수명,투구ID,상대타석내구수,구종(stuff),구속(speed),좌우위치(crossPlateX),상하위치(crossPlateY),S존상단(topSz),S존하단(bottomSz),타자타석방향(stance),초속X(vx0),초속Y(vy0),초속Z(vz0),가속도X(ax),가속도Y(ay),가속도Z(az),텍스트로그
4,Away,김태연,올러,260506_193126,5,직구,149.0,-0.164867,0.7083,3.232,1.568,R,6.96199,-133.267,-5.60892,-10.5902,26.0162,-17.628,김태연 : 좌익수 플라이 아웃
4,Away,심우준,올러,260506_193733,5,슬라이더,133.0,-0.679088,0.7083,3.36,1.63,R,2.07402,-119.496,0.667641,12.2788,23.3341,-40.734,심우준 : 삼진 아웃
4,Away,페라자,올러,260506_194141,5,슬라이더,135.0,-0.447716,0.7083,3.25,1.576,L,2.79268,-120.941,8.14279,13.13,22.6736,-44.7895,페라자 : 볼넷
4,Away,심우준,올러,260506_193807,6,체인지업,138.0,1.38441,0.7083,3.36,1.63,R,11.287,-123.78,-4.63583,-10.9749,22.4706,-37.3257,심우준 : 삼진 아웃
4,Away,페라자,올러,260506_194218,6,체인지업,137.0,-1.45593,0.7083,3.25,1.576,L,5.79985,-122.965,4.19328,-14.4868,24.4652,-37.7344,페라자 : 볼넷
4,Home,아데를린,류현진,260506_194631,1,체인지업,126.0,0.478844,0.7083,3.453,1.675,R,-4.2124,-112.908,-0.158809,8.27257,20.0281,-21.0817,아데를린 : 3루수 파울플라이 아웃
4,Home,나성범,류현진,260506_194745,1,체인지업,125.0,0.091717,0.7083,3.344,1.622,L,-6.00773,-112.185,-0.088694,11.5755,19.4813,-25.107,나성범 : 몸에 맞는 볼
4,Home,데일,류현진,260506_194904,1,직구,143.0,1.01624,0.7083,3.461,1.678,R,-4.3589,-129.125,-4.7917,13.3727,28.9983,-15.2773,데일 : 우익수 파울플라이 아웃
4,Home,한준수,류현진,260506_195034,1,투심,141.0,0.650687,0.7083,3.391,1.645,L,-5.84342,-127.012,-3.75767,16.4113,25.0085,-19.5756,한준수 : 1루수 땅볼 아웃 (1루수 1루 터치아웃)
4,Home,아데를린,류현진,260506_194646,2,체인지업,128.0,0.778737,0.7083,3.453,1.675,R,-3.86488,-111.691,-3.52168,7.78682,16.869,-18.4166,아데를린 : 3루수 파울플라이 아웃
4,Home,나성범,류현진,260506_194800,2,커터,137.0,-0.681075,0.7083,3.344,1.622,L,-6.08421,-123.196,-7.51876,4.55979,21.5587,-23.8488,나성범 : 몸에 맞는 볼
4,Home,데일,류현진,260506_194925,2,직구,141.0,0.463352,0.7083,3.461,1.678,R,-5.36691,-126.679,-3.62531,11.0627,24.5173,-17.6446,데일 : 우익수 파울플라이 아웃
4,Home,아데를린,류현진,260506_194705,3,체인지업,124.0,-0.228074,0.7083,3.453,1.675,R,-5.49507,-111.373,-3.63898,6.64661,18.1339,-21.7978,아데를린 : 3루수 파울플라이 아웃
4,Home,나성범,류현진,260506_194821,3,체인지업,125.0,1.54946,0.7083,3.344,1.622,L,-3.57674,-112.161,0.830209,13.3818,21.0542,-24.7971,나성범 : 몸에 맞는 볼
4,Home,데일,류현진,260506_194951,3,체인지업,128.0,0.462852,0.7083,3.461,1.678,R,-5.43412,-114.937,-2.41852,11.7142,21.8215,-25.6736,데일 : 우익수 파울플라이 아웃
5,Away,강백호,올러,260506_195245,1,체인지업,137.0,-1.01217,0.7083,3.333,1.616,L,5.32913,-122.013,4.24069,-8.81138,23.6445,-37.2832,강백호 : 삼진 아웃
5,Away,노시환,올러,260506_195459,1,체인지업,137.0,0.613257,0.7083,3.364,1.631,R,10.133,-122.171,-3.24893,-11.654,22.6743,-26.8284,노시환 : 우익수 플라이 아웃
5,Away,김태연,올러,260506_195552,1,체인지업,138.0,1.55493,0.7083,3.232,1.568,R,10.9936,-123.355,-5.85283,-9.47779,22.7127,-33.6016,김태연 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃)
5,Away,강백호,올러,260506_195259,2,체인지업,137.0,-0.46397,0.7083,3.333,1.616,L,7.15892,-122.273,-2.41832,-11.3963,21.4016,-32.6313,강백호 : 삼진 아웃
5,Away,노시환,올러,260506_195516,2,커브,131.0,0.213613,0.7083,3.364,1.631,R,3.96431,-117.489,1.73414,9.04444,19.395,-46.0588,노시환 : 우익수 플라이 아웃
5,Away,김태연,올러,260506_195616,2,슬라이더,133.0,-0.438255,0.7083,3.232,1.568,R,3.86075,-119.274,0.830366,7.22912,23.1519,-43.665,김태연 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃)
5,Away,강백호,올러,260506_195327,3,슬라이더,132.0,-0.612641,0.7083,3.333,1.616,L,3.26076,-118.36,3.88311,7.25847,20.649,-45.3717,강백호 : 삼진 아웃
5,Away,김태연,올러,260506_195655,3,직구,148.0,0.040477,0.7083,3.232,1.568,R,7.54955,-131.886,-5.55511,-11.3908,28.9773,-19.6266,김태연 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃)
5,Away,강백호,올러,260506_195348,4,체인지업,137.0,-1.46334,0.7083,3.333,1.616,L,4.35953,-122.172,3.77885,-9.42277,22.6803,-33.6304,강백호 : 삼진 아웃
5,Away,강백호,올러,260506_195410,5,슬라이더,135.0,-1.31021,0.7083,3.333,1.616,L,2.06963,-121.257,3.71093,5.70994,20.2121,-43.1341,강백호 : 삼진 아웃
5,Away,강백호,올러,260506_195428,6,투심,149.0,0.059937,0.7083,3.333,1.616,L,8.84808,-133.393,-2.5753,-15.3553,26.1761,-21.8589,강백호 : 삼진 아웃
5,Home,박민,류현진,260506_195905,1,직구,142.0,0.348013,0.7083,3.382,1.64,R,-5.8958,-127.488,-9.77155,14.5635,29.3161,-15.925,박민 : 삼진 아웃
5,Home,박재현,류현진,260506_200032,1,직구,142.0,-0.039605,0.7083,3.329,1.615,L,-6.52092,-126.551,-3.44833,12.9759,22.3752,-15.8099,박재현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃)
5,Home,김호령,류현진,260506_200211,1,직구,145.0,-0.090605,0.7083,3.311,1.606,R,-7.5101,-130.48,-4.76943,17.0111,27.4785,-14.7162,김호령 : 삼진 아웃
5,Home,박민,류현진,260506_195924,2,체인지업,128.0,0.349602,0.7083,3.382,1.64,R,-5.43065,-114.497,-1.64297,11.7731,20.1361,-22.3036,박민 : 삼진 아웃
5,Home,박재현,류현진,260506_200051,2,직구,145.0,-0.414872,0.7083,3.329,1.615,L,-6.36517,-129.548,-4.03892,9.47662,25.5033,-11.8365,박재현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃)
5,Home,김호령,류현진,260506_200232,2,직구,145.0,-0.27587,0.7083,3.311,1.606,R,-6.43275,-129.748,-3.52071,10.1115,26.75,-15.1503,김호령 : 삼진 아웃
5,Home,박민,류현진,260506_195940,3,직구,143.0,0.466287,0.7083,3.382,1.64,R,-5.15609,-128.538,-6.0302,12.0322,28.679,-13.2076,박민 : 삼진 아웃
